wiki_path,synapse_schema,wiki_stem,matched_uc_full_name,match_confidence
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Total.lineage.md,BI_DB_dbo,Function_Revenue_Total.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Total.md,BI_DB_dbo,Function_Revenue_Total,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Total.review-needed.md,BI_DB_dbo,Function_Revenue_Total.review-needed,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Trading_Fees_Breakdown.lineage.md,BI_DB_dbo,Function_Revenue_Trading_Fees_Breakdown.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Trading_Fees_Breakdown.md,BI_DB_dbo,Function_Revenue_Trading_Fees_Breakdown,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Trading_Instrument_Level.lineage.md,BI_DB_dbo,Function_Revenue_Trading_Instrument_Level.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Trading_Instrument_Level.md,BI_DB_dbo,Function_Revenue_Trading_Instrument_Level,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Trading_Instrument_Level.review-needed.md,BI_DB_dbo,Function_Revenue_Trading_Instrument_Level.review-needed,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_TransferCoinFee.lineage.md,BI_DB_dbo,Function_Revenue_TransferCoinFee.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_TransferCoinFee.md,BI_DB_dbo,Function_Revenue_TransferCoinFee,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Search_Functions.lineage.md,BI_DB_dbo,Function_Search_Functions.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Search_Functions.md,BI_DB_dbo,Function_Search_Functions,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Trading_Volume.lineage.md,BI_DB_dbo,Function_Trading_Volume.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Trading_Volume.md,BI_DB_dbo,Function_Trading_Volume,main.etoro_kpi_prep.v_trading_volume_and_amount,fuzzy
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Trading_Volume.review-needed.md,BI_DB_dbo,Function_Trading_Volume.review-needed,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Trading_Volume_PositionLevel.lineage.md,BI_DB_dbo,Function_Trading_Volume_PositionLevel.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Trading_Volume_PositionLevel.md,BI_DB_dbo,Function_Trading_Volume_PositionLevel,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Trading_Volume_PositionLevel.review-needed.md,BI_DB_dbo,Function_Trading_Volume_PositionLevel.review-needed,,none
knowledge/synapse/Wiki/EXW_dbo/Functions/RemovePrefix.lineage.md,EXW_dbo,RemovePrefix.lineage,,none
knowledge/synapse/Wiki/EXW_dbo/Functions/RemovePrefix.md,EXW_dbo,RemovePrefix,,none
knowledge/synapse/Wiki/EXW_dbo/Functions/RemovePrefix.review-needed.md,EXW_dbo,RemovePrefix.review-needed,,none
knowledge/synapse/Wiki/EXW_dbo/Functions/RemoveSuffix.lineage.md,EXW_dbo,RemoveSuffix.lineage,,none
knowledge/synapse/Wiki/EXW_dbo/Functions/RemoveSuffix.md,EXW_dbo,RemoveSuffix,,none
knowledge/synapse/Wiki/EXW_dbo/Functions/RemoveSuffix.review-needed.md,EXW_dbo,RemoveSuffix.review-needed,,none
