source,wiki_md,kind,db,schema,table,uc_target,mapped,uc_exists,uc_table_comment_set,uc_total_cols,uc_commented_cols,uc_tier_drift_cols,uc_col_coverage_pct,bucket
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OrderForExecutionStatus.md,Table,etoro,Dictionary,OrderForExecutionStatus,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OrderOperationType.md,Table,etoro,Dictionary,OrderOperationType,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OrdersActionType.md,Table,etoro,Dictionary,OrdersActionType,main.general.bronze_etoro_dictionary_ordersactiontype,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OrdersEntryActionType.md,Table,etoro,Dictionary,OrdersEntryActionType,main.general.bronze_etoro_dictionary_ordersentryactiontype,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OrdersExitActionType.md,Table,etoro,Dictionary,OrdersExitActionType,main.general.bronze_etoro_dictionary_ordersexitactiontype,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OrdersExitCloseActionType.md,Table,etoro,Dictionary,OrdersExitCloseActionType,main.general.bronze_etoro_dictionary_ordersexitcloseactiontype,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OrdersExitOpenActionType.md,Table,etoro,Dictionary,OrdersExitOpenActionType,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OrderType.md,Table,etoro,Dictionary,OrderType,main.general.bronze_etoro_dictionary_ordertype,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OverNightFeePattern.md,Table,etoro,Dictionary,OverNightFeePattern,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.PaymentActionStatus.md,Table,etoro,Dictionary,PaymentActionStatus,main.general.bronze_etoro_dictionary_paymentactionstatus,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.PaymentActionType.md,Table,etoro,Dictionary,PaymentActionType,main.general.bronze_etoro_dictionary_paymentactiontype,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.PaymentDirection.md,Table,etoro,Dictionary,PaymentDirection,main.general.bronze_etoro_dictionary_paymentdirection,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.PaymentServiceStatus.md,Table,etoro,Dictionary,PaymentServiceStatus,main.general.bronze_etoro_dictionary_paymentservicestatus,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.PaymentStatus.md,Table,etoro,Dictionary,PaymentStatus,main.general.bronze_etoro_dictionary_paymentstatus,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.PaymentStatusNotification.md,Table,etoro,Dictionary,PaymentStatusNotification,main.general.bronze_etoro_dictionary_paymentstatusnotification,yes,yes,yes,3,3,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.PaymentStatusStateMachine.md,Table,etoro,Dictionary,PaymentStatusStateMachine,main.general.bronze_etoro_dictionary_paymentstatusstatemachine,yes,yes,yes,3,3,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.PaymentType.md,Table,etoro,Dictionary,PaymentType,main.general.bronze_etoro_dictionary_paymenttype,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.PayoutProcessReason.md,Table,etoro,Dictionary,PayoutProcessReason,main.general.bronze_etoro_dictionary_payoutprocessreason,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.PCL_ChangeType.md,Table,etoro,Dictionary,PCL_ChangeType,main.general.bronze_etoro_dictionary_pcl_changetype,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.PendingClosureStatus.md,Table,etoro,Dictionary,PendingClosureStatus,main.general.bronze_etoro_dictionary_pendingclosurestatus,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.Permission.md,Table,etoro,Dictionary,Permission,main.general.bronze_etoro_dictionary_permission,yes,yes,yes,3,3,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.PhoneTypes.md,Table,etoro,Dictionary,PhoneTypes,main.general.bronze_etoro_dictionary_phonetypes,yes,yes,yes,2,2,0,100.0,OK
