python : [synapse] connecting to prod-synapse-dataplatform-we.sql.azuresynapse.net / sql_dp_prod_we...
At C:\Users\guyman\AppData\Local\Temp\2\ps-script-c32c4adc-4b9c-44ab-b73b-50b8d5a0b39c.ps1:76 char:1
+ python tools/parity_check_ddr_2025.py 2>&1 | Out-File -FilePath ddr_p ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ([synapse] conne...l_dp_prod_we...:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
[synapse-prod] 487 dateids in 11.6s

[uc] connecting (profile=name-of-profile)...

[uc] 487 dateids in 14.2s

DateID,syn_deposits,uc_deposits,diff_deposits,syn_tp_equity,uc_tp_equity,diff_tp_equity,syn_sdrt,uc_sdrt,diff_sdrt,syn_upnl_change,uc_upnl_change,diff_upnl_change,syn_funded,uc_funded,diff_funded,mismatch_metrics
20250903,39272906.660000,,,18537180760.694500,18537180760.694500,0.000000,10522.830000,10522.830000,0.000000,42171745.070000,42171745.070000,0.000000,3496075,3496075,0,deposits
20250904,31597366.690000,,,18410418182.034500,18410418182.034500,0.000000,5561.170000,5561.170000,0.000000,-136418350.620000,-136418350.620000,0.000000,3496743,3496743,0,deposits
20250905,38552635.390000,,,18490684160.324500,18490684160.324500,0.000000,6632.880000,6632.880000,0.000000,69135001.330000,69135001.330000,0.000000,3496944,3496944,0,deposits
20250906,7274044.470000,,,18438028781.044500,18438028781.044500,0.000000,,,,-55786903.960000,-55786903.960000,0.000000,3497122,3497122,0,deposits
20250907,8312355.310000,,,18577373338.984500,18577373338.984500,0.000000,,,,136295364.150000,136295364.150000,0.000000,3497398,3497398,0,deposits
20250908,44158442.910000,,,18794160432.014500,18794160432.014500,0.000000,6710.560000,6710.560000,0.000000,194202043.000000,194202043.000000,0.000000,3498410,3498410,0,deposits
20250909,41618441.040000,,,18870551086.474500,18870551086.474500,0.000000,6112.890000,6112.890000,0.000000,61059721.200000,61059721.200000,0.000000,3498932,3498932,0,deposits
20250910,40242472.050000,,,19024206897.384500,19024206897.384500,0.000000,6024.370000,6024.370000,0.000000,146767358.080000,146767358.080000,0.000000,3499638,3499638,0,deposits
20250911,43025155.250000,,,19299145112.324500,19299145112.324500,0.000000,7137.940000,7137.940000,0.000000,259653654.110000,259653654.110000,0.000000,3505585,3505585,0,deposits
20250912,39285530.360000,,,19567636940.904500,19567636940.904500,0.000000,6665.000000,6665.000000,0.000000,256449169.630000,256449169.630000,0.000000,3505941,3505941,0,deposits
