idx,source_file,uc_table,uc_column,status,error
56,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,UnRealizedEquity,OK,
57,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,MaxEquity_LastYear,OK,
58,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,MaxEquity_LastWeek,OK,
59,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,CashoutAmount_LastWeek,OK,
60,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,CashoutAmount_InProcess,OK,
61,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,TotalDepositsAmount_LastYear,OK,
62,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,KYC_PlannedInvestment_Stocks,OK,
63,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,KYC_PlannedInvestment_Crypto,OK,
64,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,KYC_PlannedInvestment_FX,OK,
65,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Total_KYC_PlannedInvestment_Answers,OK,
66,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,StocksLendingStatusID,OK,
67,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,StocksLendingOptInDate,OK,
68,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,eTM_IBAN_Type,OK,
69,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,eTM_AccountName_LocalCurrency,OK,
70,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Cluster,OK,
71,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,ClusterDate,OK,
72,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,PositionOpen_LastDate_ETF,OK,
73,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Rewarded_LastMonth_eMoney,OK,
74,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Monthly_CardSpent_eMoney,OK,
75,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Monthly_RewardedChashBack_eMoney,OK,
76,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Monthly_CardEligibleCashBack_eMoney,OK,
77,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,FirstDepositDateGlobal,OK,
78,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,DepositsUSD_Global,OK,
79,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,BalanceGlobal,OK,
80,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,EquityGlobal,OK,
81,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Total_Deposit_USD,OK,
82,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Total_Deposit_EUR,OK,
83,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Total_Deposit_GBP,OK,
84,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Current_Balance_USD,OK,
85,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Current_Balance_EUR,OK,
86,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Current_Balance_GBP,OK,
87,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,LastTransactionDate,OK,
88,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,AcceptedTnCs_Date,OK,
89,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,DIY_PortfolioCreatedDate,OK,
90,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,DIY_FirstDepositDate,OK,
91,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Cash_PortfolioCreatedDate,OK,
92,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Cash_FirstDepositDate,OK,
93,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Managed_PortfolioCreatedDate,OK,
94,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Managed_FirstDepositDate,OK,
95,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,IsDefunded_across_all_portfolios,OK,
96,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,RAF_Inviter,OK,
97,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,RAF_LastCashoutDate,OK,
98,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,etr_y,OK,
99,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,etr_ym,OK,
100,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,etr_ymd,OK,
