source_schema,catalog,uc_schema,uc_table,col_count,commented,missing,pct_commented
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked,57,57,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotequity_fromdateid,31,31,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_v_liabilities,78,78,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_dim_billingprotocolmidsettingsid,11,11,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_dim_calculationtype,3,3,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_dim_costconfigurationid,3,3,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_dim_costsubtype,3,3,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_dim_costtype,3,3,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_dim_countryipanonymous,7,7,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_dim_executionoperationtype,3,3,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_dim_feeoperationtypes,3,3,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation_groupsinstruments,3,3,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_dim_product,6,6,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_fact_cashout_rollback,28,28,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_fact_cashout_state,28,28,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,47,47,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_fact_deposit_state,29,29,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_fact_position_futures_snapshot,32,32,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_fact_reverse_deposits,46,46,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_fact_settlement_prices,5,5,0,100.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_fact_withdraw_fees,36,36,0,100.0
DWH_dbo,main,pii_data,gold_sql_dp_prod_we_dwh_dbo_dim_affiliate,56,56,0,100.0
DWH_dbo,main,pii_data,gold_sql_dp_prod_we_dwh_dbo_dim_customer,107,107,0,100.0
DWH_dbo,main,pii_data,gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer,47,47,0,100.0
DWH_dbo,main,pii_data,gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid,57,57,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,16,16,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_singapore_risk_classification,45,45,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_amlperiodicreview,70,70,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_approperiatenesstest_ftp_cid_level,11,11,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cb_cyclegap_categorization,26,26,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailycluster,13,13,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_club,70,70,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_fulldata,184,184,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_lifestagedefinition,12,12,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates_masked,139,139,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_compliance_illegal_trades_alerts,41,41,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_compliance_restriction_lists_forbidden_trading,4,4,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_creditriskmatrix,66,66,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_creditline,16,16,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport,80,80,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailydividendsbyposition,29,29,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailypanel_copy,57,57,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_dcm_dashboard,40,40,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_cid_level,175,175,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_daily_status,67,67,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_periodic_status,131,131,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_aum,43,43,0,100.0
