ProcedureName,TableName,FrequencySP,ProcessName,Priority,max_update,modify_date,freshness_method,tableau_workbooks,total_views_sum,newest_wb_updated,newest_wb_age_days,is_feeder,verdict,decision
Dealing_dbo.SP_Employees_Report,Dealing_dbo.Dealing_Employees_Report,Daily,SB_Daily,0,5/31/2026 6:27,7/15/2024 7:03,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_EquityFees,Dealing_dbo.Dealing_EquityFees,Daily,SB_Daily,0,5/29/2026 7:56,1/18/2024 17:02,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_ESMANetLoss,Dealing_dbo.Dealing_ESMANetLoss,Daily,SB_Daily,0,5/31/2026 6:22,7/23/2023 12:55,UpdateDate,1,31,1/16/2026,135,,KEEP,
Dealing_dbo.SP_FactSet_Dependency_Status,Dealing_staging.Dealing_FactSet_Dependency_Status,Daily,SB_Daily,0,,5/31/2026 6:46,modify_date,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Fails_PI,Dealing_dbo.Dealing_Fails_PI,Daily,SB_Daily,0,5/31/2026 6:21,2/4/2024 7:30,UpdateDate,2,25,11/20/2024,557,,KEEP,
Dealing_dbo.SP_HedgeCost,Dealing_dbo.Dealing_HedgeCost,Daily,SB_Daily,0,5/31/2026 6:38,7/23/2023 10:48,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Holdings_RealStocks,Dealing_dbo.Dealing_Holdings_RealStocks,Daily,SB_Daily,0,5/31/2026 6:21,11/16/2023 12:33,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_IB_Recon,Dealing_dbo.Dealing_IBRecon_EODHoldings,Daily,SB_Daily,0,5/29/2026 8:51,11/21/2023 11:56,UpdateDate,6,13389,5/29/2026,2,,KEEP,
Dealing_dbo.SP_IGRecon,Dealing_dbo.Dealing_IGReconTrades,Daily,SB_Daily,0,5/30/2026 6:39,1/1/2024 16:28,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_IGRecon,Dealing_dbo.Dealing_IGReconEODHolding,Daily,SB_Daily,0,5/30/2026 6:39,1/1/2024 16:28,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_IntraHourCommodityReport,Dealing_dbo.Dealing_CommoditiesIntraHour_Clients,Daily,SB_Daily,0,5/31/2026 6:42,11/9/2023 13:57,UpdateDate,1,721,1/31/2024,851,,KEEP,
Dealing_dbo.SP_IntraHourCommodityReport,Dealing_dbo.Dealing_CommoditiesIntraHour_Etoro,Daily,SB_Daily,0,5/31/2026 6:42,11/9/2023 13:57,UpdateDate,1,721,1/31/2024,851,,KEEP,
Dealing_dbo.SP_Islamic_Administrative_Fee,Dealing_dbo.Dealing_Islamic_Daily_Administrative_Fee,Daily,SB_Daily,0,5/31/2026 6:22,3/28/2024 15:49,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Islamic_Spot_Price_Adjustment,Dealing_dbo.Dealing_Islamic_Daily_Spot_Price_Adjustment,Daily,SB_Daily,0,5/29/2026 11:32,5/26/2024 9:07,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_JPMRecon,Dealing_dbo.Dealing_PriceLocks,Daily,SB_Daily,0,5/31/2026 6:34,4/2/2024 12:15,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Latency_SuspiciousCIDs,Dealing_dbo.Dealing_Latency_SuspiciousCIDs,Daily,SB_Daily,0,5/31/2026 6:30,7/17/2023 6:16,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_M_CME_Reporting,Dealing_dbo.Dealing_CME_Reporting,Monthly,SB_Daily,0,5/1/2026 6:17,1/29/2024 9:22,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_ManipulationReport_RealStocks,Dealing_dbo.Dealing_ManipulationReport_RealStocks_CID,Daily,SB_Daily,0,5/30/2026 6:28,3/27/2024 8:40,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Manual_Exec_Trade,Dealing_dbo.Dealing_Manual_Exec_Trade,Daily,SB_Daily,0,5/30/2026 6:40,11/22/2023 14:19,UpdateDate,1,518,11/29/2023,914,,KEEP,
Dealing_dbo.SP_Manual_Exec_Trade,Dealing_dbo.Dealing_Manual_Exec_Trade_Summary,Daily,SB_Daily,0,5/30/2026 6:40,11/22/2023 14:20,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_ManualPositionClose,Dealing_dbo.Dealing_ManualPositionClose,Daily,SB_Daily,0,5/30/2026 6:33,12/18/2023 12:23,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Marex_Recon,Dealing_dbo.Dealing_Marex_Recon_EODHoldings,Daily,SB_Daily,0,5/30/2026 7:04,4/18/2024 10:35,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Marex_Recon,Dealing_dbo.Dealing_Marex_Recon_EODHoldings_Futures,Daily,SB_Daily,0,5/30/2026 7:04,10/23/2025 18:17,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Market_Manipulation_OutstandingsharesHigherthan005,Dealing_dbo.Dealing_Market_Manipulation_OutstandingsharesHigherthan005_Email,Daily,SB_Daily,0,5/31/2026 6:22,4/1/2024 6:15,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Market_Manipulation_OutstandingsharesHigherthan005,Dealing_dbo.Dealing_Market_Manipulation_OutstandingsharesHigherthan005,Daily,SB_Daily,0,5/31/2026 6:22,4/1/2024 6:15,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Market_Manipulation_Report,Dealing_dbo.Dealing_Market_Manipulation_Report,Daily,SB_Daily,0,5/31/2026 6:52,2/13/2024 9:42,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_MarketMakerAllTrade,Dealing_dbo.Dealing_MarketMakerAllTrade,Daily,SB_Daily,0,5/30/2026 11:27,1/1/2024 16:05,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_MarketMakerBoundaries,Dealing_dbo.Dealing_MarketMakerBoundaries_Real,Daily,SB_Daily,0,5/31/2026 6:29,1/13/2026 8:21,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_MarketMakerBoundaries,Dealing_dbo.Dealing_MarketMakerBoundaries_CFD ,Daily,SB_Daily,0,5/31/2026 6:29,1/13/2026 8:20,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_MAXLeverageByNOP,Dealing_dbo.Dealing_MAXLeverageByNOP,Daily,SB_Daily,0,5/31/2026 6:21,12/12/2023 11:48,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_MaxNOPLimitSettings,Dealing_dbo.Dealing_MaxNOPLimitSettings,Daily,SB_Daily,0,5/31/2026 6:19,11/23/2023 8:34,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_MaxPositionUnits,Dealing_dbo.Dealing_MaxPositionUnits,Daily,SB_Daily,0,5/31/2026 6:21,1/1/2024 12:14,UpdateDate,1,255,3/12/2026,80,,KEEP,
Dealing_dbo.SP_MCS_Model_Report,Dealing_dbo.Dealing_MCS_Model_Report,Daily,SB_Daily,0,5/31/2026 6:18,4/3/2024 12:23,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Monitoring_ADV,Dealing_dbo.Dealing_Monitoring_ADV,Daily,SB_Daily,0,5/31/2026 6:26,5/4/2026 8:49,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Monitoring_ADV,Dealing_dbo.Dealing_Monitoring_ADV_MoreThanPercent,Daily,SB_Daily,0,5/30/2026 6:44,2/20/2024 13:55,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_NOP_Report,Dealing_dbo.Dealing_NOP_Report,Daily,SB_Daily,0,5/30/2026 15:03,3/17/2024 7:03,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_PDT,Dealing_dbo.Dealing_PDT,Daily,SB_Daily,0,5/31/2026 6:32,8/15/2023 8:17,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_PreviouslyIdentifiedAbusers,Dealing_dbo.Dealing_PreviouslyIdentifiedAbusers,Daily,SB_Daily,0,5/31/2026 6:21,4/2/2024 9:28,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_PreviouslyIdentifiedAbusers,Dealing_dbo.Dealing_PreviouslyIdentifiedAbusers_Email,Daily,SB_Daily,0,5/31/2026 6:21,4/2/2024 9:28,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_PriceLocks,Dealing_dbo.Dealing_PriceLocks,Daily,SB_Daily,0,5/31/2026 6:34,4/2/2024 12:15,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Rev_Assurance,Dealing_dbo.Dealing_Commission_Assurance_By_Position,Daily,SB_Daily,0,5/31/2026 6:29,5/24/2026 14:58,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
