ProcedureName,TableName,FrequencySP,ProcessName,Priority,blacklist_reason,source_phase,source_verdict,max_update,modify_date,days_stale
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.customerfinancedb_customer_firsttimedeposits,CopyFromLake.customerfinancedb_customer_firsttimedeposits,Daily,SB_Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
Dealing_dbo.SP_Market_Manipulation_Report_FCA,Dealing_dbo.Dealing_Market_Manipulation_Report_FCA,Daily,SB_Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
eMoney_dbo.SP_eMoney_Calculated_Balance,eMoney_dbo.eMoney_Calculated_Balance,Daily,SB_Daily,60,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DataBricks_H_Dealing_Production_Diffusion_Analysis,analysis/BI_OUTPUT/Dealing/Nixar/Delta/DiffusionAnalysis,Hourly,Daily,0,A4_HOURLY,A0,A4_HOURLY,,,
BI_DB_dbo.SP_H_Deposits,BI_DB_dbo.BI_DB_Deposits,Hourly,SB_Daily,0,A4_HOURLY,A0,A4_HOURLY,,,
BI_DB_dbo.SP_H_Deposits_Wires_From_Googlesheet,BI_DB_dbo.BI_DB_Deposits_WiresFromGooglesheets,Hourly,SB_Hourly,0,A4_HOURLY,A0,A4_HOURLY,,,
BI_DB_dbo.SP_H_PaymentSent_Results,BI_DB_dbo.BI_DB_PaymentSent_Results,Hourly,SB_Hourly,0,A4_HOURLY,A0,A4_HOURLY,,,
DataBricks-export_table_to_file-SFMC_etoroAffiliateDailyData,Gold/MC/SFMC_test/etoroAffiliateDailyData,Hourly,Daily,0,A4_HOURLY,A0,A4_HOURLY,,,
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.Streams_dbo_Entries,CopyFromLake.Streams_dbo_Entries,Hourly,SB_Hourly,20,A4_HOURLY,A0,A4_HOURLY,,,
BI_DataBricks-Dealing_volatility_bucket,BI_OUTPUT/Dealing/volatility_bucket,Monthly,Daily,0,A4_MONTHLY,A0,A4_MONTHLY,,,
BI_DB_dbo.SP_M_Crypto_RECON,BI_DB_dbo.BI_DB_Crypto_Zero,Monthly,FinanceReportSPS,99,A4_MONTHLY,A0,A4_MONTHLY,,,
