ProcedureName,TableName,FrequencySP,ProcessName,Priority,blacklist_reason,source_phase,source_verdict,max_update,modify_date,days_stale
Dealing_staging.SP_Create_External_CalendarDB_Market_MergedDailySchedules,Dealing_staging.External_CalendarDB_Market_MergedDailySchedules,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_CalendarDB_Market_ProvidersExchangeDailySchedules,Dealing_staging.External_CalendarDB_Market_ProvidersExchangeDailySchedules,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_DB_Logs_History_CloseExecutionPlan,Dealing_staging.External_DB_Logs_History_CloseExecutionPlan,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:36,0.3
Dealing_staging.SP_Create_External_DB_Logs_History_ExecutedCloseOrders,Dealing_staging.External_DB_Logs_History_ExecutedCloseOrders,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_DealingLogs_Dictionary_InstrumentEventType,Dealing_staging.External_DealingLogs_Dictionary_InstrumentEventType,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_DealingLogs_Price_InstrumentEventLog,Dealing_staging.External_DealingLogs_Price_InstrumentEventLog,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_Dictionary_FailType,Dealing_staging.External_Etoro_Dictionary_FailType,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_Dictionary_InterestRate,Dealing_staging.External_Etoro_Dictionary_InterestRate,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_Dictionary_SpreadType,Dealing_staging.External_Etoro_Dictionary_SpreadType,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_Hedge_ExecutionLog,Dealing_staging.External_Etoro_Hedge_ExecutionLog,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_Hedge_ManualOrderExecutionLog,Dealing_staging.External_Etoro_Hedge_ManualOrderExecutionLog,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_Hedge_Netting,Dealing_staging.External_Etoro_Hedge_Netting,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_History_InstrumentSpread,Dealing_staging.External_Etoro_History_InstrumentSpread,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_History_InstrumentToFeeConfig,Dealing_staging.External_History_InstrumentToFeeConfig,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_History_InterestRate,Dealing_staging.External_Etoro_History_InterestRate,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_History_WithdrawToFundingAction,Dealing_staging.External_Etoro_History_WithdrawToFundingAction,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_Price_InstrumentConfiguration,Dealing_staging.External_Etoro_Price_InstrumentConfiguration,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_Price_PCSToLiquidityAccount,Dealing_staging.External_Etoro_Price_PCSToLiquidityAccount,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 5:21,0.3
Dealing_staging.SP_Create_External_Etoro_Trade_ExchangeInstrumentFeeDefinition,Dealing_staging.External_Trade_ExchangeInstrumentFeeDefinition,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_Trade_FeatureThresholdValues,Dealing_staging.External_Etoro_Trade_FeatureThresholdValues,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_Trade_IndexDividends,Dealing_staging.External_Etoro_Trade_IndexDividends,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_Trade_InstrumentSpread,Dealing_staging.External_Etoro_Trade_InstrumentSpread,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_Trade_InstrumentToFeeConfig,Dealing_staging.External_Trade_InstrumentToFeeConfig,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_Trade_LiquidityAccounts,Dealing_staging.External_Etoro_Trade_LiquidityAccounts,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:31,0.3
Dealing_staging.SP_Create_External_Etoro_Trade_ProviderToInstrument,Dealing_staging.External_Etoro_Trade_ProviderToInstrument,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:36,0.3
Dealing_staging.SP_Create_External_ExternalOperations_Dictionary_PdtStatus,Dealing_staging.External_ExternalOperations_Dictionary_PdtStatus,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:37,0.3
Dealing_staging.SP_Create_External_ExternalOperations_Trade_PdtOperations,Dealing_staging.External_ExternalOperations_Trade_PdtOperations,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:36,0.3
Dealing_staging.SP_Create_External_Fivetran_gsheets_master_vision_insert_data,Dealing_staging.External_Fivetran_gsheets_master_vision_insert_data,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 5:26,0.3
Dealing_staging.SP_Create_External_MarketMaker_dbo_Configurations,Dealing_staging.External_MarketMaker_dbo_Configurations,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:36,0.3
Dealing_staging.SP_Create_External_MarketMaker_dbo_HedgeTrades,Dealing_staging.External_MarketMaker_dbo_HedgeTrades,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:36,0.3
Dealing_staging.SP_Create_External_PriceLog_History_ClosingPrices,Dealing_staging.External_PriceLog_History_ClosingPrices,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:36,0.3
Dealing_staging.SP_Create_External_Rankings_StockInfo_InstrumentData,Dealing_staging.External_Rankings_StockInfo_InstrumentData,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:36,0.3
Dealing_staging.SP_Create_External_SettingsDB_Settings_Resources,Dealing_staging.External_SettingsDB_Settings_Resources,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:36,0.3
Dealing_staging.SP_Create_External_Sodreconciliation_apex_EXT235_MandatoryCorporateActions,Dealing_staging.External_Sodreconciliation_apex_EXT235_MandatoryCorporateActions,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/31/2026 4:36,0.3
Dealing_staging.SP_Create_External_Sodreconciliation_apex_EXT922_DividendReport,Dealing_staging.External_Sodreconciliation_apex_EXT922_DividendReport,Daily,SB_Daily,20,A3_USER_OVERRIDE,A3,KEEP,,5/30/2026 13:26,0.9
BI_DB_dbo.SP_PositionPnL_Agg_daily_Staking,BI_DB_dbo.BI_DB_PositionPnL_Agg_daily_Staking,Daily,SB_Daily,21,A3_DAILY_365D,A3,A3_DAILY_365D,2/27/2022 13:28,5/26/2022 10:50,1553.9
BI_DB_dbo.SP_DDR,BI_DB_dbo.BI_DB_DDR_CID_Level,Daily,SB_Daily,90,A3_USER_OVERRIDE,A3,KEEP,5/31/2026 4:26,12/6/2023 13:03,0.3
BI_DB_dbo.SP_DDR,BI_DB_dbo.BI_DB_DDR_Daily_Aggregated,Daily,SB_Daily,90,A3_USER_OVERRIDE,A3,KEEP,5/31/2026 4:26,3/8/2023 11:23,0.3
BI_DB_dbo.SP_DDR_Aggregated,BI_DB_dbo.BI_DB_DDR_TimeRange_Aggregated_Country_Level,Daily,SB_Daily,90,A3_USER_OVERRIDE,A3,KEEP,5/31/2026 5:06,5/15/2024 11:31,0.3
BI_DB_dbo.SP_DDR_Aggregated_Auxiliary_Metrics,BI_DB_dbo.BI_DB_DDR_TimeRange_Aggregated_Country_Level,Daily,SB_Daily,90,A3_USER_OVERRIDE,A3,KEEP,5/31/2026 5:06,5/15/2024 11:31,0.3
BI_DB_dbo.SP_DDR_Auxiliary_Metrics,BI_DB_dbo.BI_DB_DDR_CID_Level_Auxiliary_Metrics,Daily,SB_Daily,90,A3_USER_OVERRIDE,A3,KEEP,5/31/2026,5/15/2024 11:31,0.5
BI_DB_dbo.SP_DDR_Auxiliary_Metrics,BI_DB_dbo.BI_DB_DDR_Daily_Aggregated_Auxiliary_Metrics,Daily,SB_Daily,90,A3_USER_OVERRIDE,A3,KEEP,5/31/2026,5/15/2024 11:31,0.5
BI_DB_dbo.SP_Futures_Finance_Prep_Data,BI_DB_dbo.BI_DB_Futures_Finance_Prep_Data,Daily,SB_Daily,90,A3_USER_OVERRIDE,A3,KEEP,5/31/2026 4:05,5/24/2026 15:06,0.3
