"ProcedureName","TableName","TableSchema","BareTable","FrequencySP","Priority","ProcessType","ProcessName"
"BI_DB_dbo.SP_DDR_Fact_MIMO_Trading_Platform","BI_DB_dbo.BI_DB_DDR_Fact_MIMO_Trading_Platform","BI_DB_dbo","BI_DB_DDR_Fact_MIMO_Trading_Platform","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_DDR_Fact_Non_Revenue_Generating_Actions","BI_DB_dbo.BI_DB_DDR_Fact_Non_Revenue_Generating_Actions","BI_DB_dbo","BI_DB_DDR_Fact_Non_Revenue_Generating_Actions","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_DDR_Process_Monitor","BI_DB_dbo.BI_DB_DDR_Process_Monitor","BI_DB_dbo","BI_DB_DDR_Process_Monitor","Daily","0","3","SB_Daily"
"BI_DB_dbo.SP_Demo_CID_Panel","BI_DB_dbo.BI_DB_Demo_CID_Panel","BI_DB_dbo","BI_DB_Demo_CID_Panel","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Diversification","BI_DB_dbo.BI_DB_Diversification","BI_DB_dbo","BI_DB_Diversification","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Document_Vendors","BI_DB_dbo.BI_DB_Document_Vendors","BI_DB_dbo","BI_DB_Document_Vendors","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Dummy","BI_DB_dbo.BI_DB_Dummy","BI_DB_dbo","BI_DB_Dummy","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_DWH_CIDs7DaysDeviation","BI_DB_dbo.DWH_CIDs7DaysDeviation","BI_DB_dbo","DWH_CIDs7DaysDeviation","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_DWH_CIDsDailyRisk","BI_DB_dbo.DWH_CIDsDailyRisk","BI_DB_dbo","DWH_CIDsDailyRisk","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_DWH_GainDaily","BI_DB_dbo.DWH_GainDaily","BI_DB_dbo","DWH_GainDaily","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Employee_Crypto_NWA","BI_DB_dbo.BI_DB_Employee_Crypto_NWA","BI_DB_dbo","BI_DB_Employee_Crypto_NWA","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_EOD_USD_cr","BI_DB_dbo.BI_DB_EOD_USD_cr","BI_DB_dbo","BI_DB_EOD_USD_cr","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Fact_Customer_Action_Position_Distribution","BI_DB_dbo.BI_DB_Fact_Customer_Action_Position_Distribution","BI_DB_dbo","BI_DB_Fact_Customer_Action_Position_Distribution","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Failed_Verification_MA","BI_DB_dbo.BI_DB_Failed_Verification_MA","BI_DB_dbo","BI_DB_Failed_Verification_MA","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_FB_Report","BI_DB_dbo.BI_DB_FB_Report","BI_DB_dbo","BI_DB_FB_Report","Daily","0","1","SB_Daily"
