"ProcedureName","TableName","IsActive","FrequencySP","ProcessType","ProcessName","Priority","last_success","last_failure","last_seen","successes_90d","failures_90d","phase_a_verdict","proc_kind"
"BI_DB_dbo.SP_DepositWithdrawFee","BI_DB_dbo.BI_DB_DepositWithdrawFee","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_DWH_GainDaily_COPYDATA_RuningSideBySide","BI_DB_dbo.DWH_GainDaily_COPYDATA_RuningSideBySide","1","Daily","1","SB_Daily","0","2024-05-07 04:59:55","","2024-05-07 04:59:55","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_ECB_ExchangeRateAPI_Update_Columns","BI_DB_dbo.BI_DB_ECB_RateExtractFromAPI","1","Daily","4","FinanceReportSPS","99","2025-01-19 00:15:08","","2025-01-19 00:15:08","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_EndOfDayReport_Cashouts","BI_DB_dbo.BI_DB_EndOfDayReport_Cashouts","1","Daily","1","SB_Daily","20","2024-03-11 08:46:57","","2024-03-11 08:46:57","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_EndOfDayReport_Redeems","BI_DB_dbo.BI_DB_EndOfDayReport_Redeems","1","Daily","1","SB_Daily","20","2024-03-11 08:41:28","2023-04-20 00:29:53","2024-03-11 08:41:28","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Auditor_Unrealized_Calculations","BI_DB_dbo.BI_DB_EY_Audit_Automation_UnrealizedCommissions_Results","1","Daily","1","SB_Daily","0","2025-04-15 12:45:37","2024-06-18 12:06:36","2025-04-15 12:45:37","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Opened_Positions","BI_DB_dbo.EY_Audit_Automation_Position_Open_Configs","1","Daily","1","SB_Daily","0","2024-01-15 06:35:32","2023-06-27 08:19:45","2024-01-15 06:35:32","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Position_LastOpPriceRate","BI_DB_dbo.EY_Audit_Position_LastOpRate","1","Daily","1","SB_Daily","0","2024-01-20 05:11:20","","2024-01-20 05:11:20","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Finance_Non_US_Settlement_Report","BI_DB_dbo.BI_DB_GAML_Real_Positions_Report_Opened_2022","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Finance_Panel_Reports","BI_DB_dbo.BI_DB_Finance_Panel_Reports","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_FirstTimeFunded","BI_DB_dbo.BI_DB_FirstTimeFunded","1","Daily","1","SB_Daily","90","2025-02-18 12:05:20","","2025-02-18 12:05:20","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_FirstTimeRev30","BI_DB_dbo.BI_DB_FirstTimeRev30","1","Daily","1","SB_Daily","0","2024-04-14 04:42:24","","2024-04-14 04:42:24","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Guru_Ratio_Populate","BI_DB_dbo.BI_DB_GuruRatios","1","Daily","1","SB_Daily","0","2024-06-06 09:21:46","2024-06-03 08:50:37","2024-06-06 09:21:46","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_GuruRatio","BI_DB_dbo.BI_DB_GuruRatios","1","Daily","1","SB_Daily","0","2023-12-28 13:25:58","","2023-12-28 13:25:58","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Instrument_Details_During_Call","BI_DB_dbo.BI_DB_Instrument_Details_During_Call","1","Daily","1","SB_Daily","20","2024-06-02 08:14:36","2024-06-26 12:05:40","2024-06-26 12:05:40","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_KYC_Report","BI_DB_dbo.BI_DB_KYCUserRawDataLeveled","1","Daily","1","SB_Daily","1","2024-06-02 06:35:42","2024-04-05 20:21:45","2024-06-02 06:35:42","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_MarketingCloudUserBehavior","BI_DB_dbo.BI_DB_MarketingCloudUserBehaviorPI","1","Daily","1","SB_Daily","0","2024-06-02 10:01:44","2023-08-31 13:40:28","2024-06-02 10:01:44","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_NOP_TradingActivity_Risk_Daily","BI_DB_dbo.BI_DB_TradingActivity_Risk_Daily","1","Daily","1","SB_Daily","20","2024-01-17 04:09:48","","2024-01-17 04:09:48","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Outliers_New","BI_DB_dbo.BI_DB_Outliers_New","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_PI_Dashboard_COPYDATA_RuningSideBySide","BI_DB_dbo.BI_DB_PI_WeeklyTrades","1","Daily","1","SB_Daily","0","2024-04-15 06:51:53","2024-02-10 07:17:52","2024-04-15 06:51:53","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_PositionPnL","BI_DB_dbo.BI_DB_PositionPnL","1","Daily","4","SB_Daily","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_PositionPnL_UnrealizedPnL_Close_Adjustment","BI_DB_dbo.BI_DB_PositionPnL_UnrealizedPnL_Close_Adjustment","1","Daily","1","SB_Daily","0","2024-07-07 06:00:40","","2024-07-07 06:00:40","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Professional_List","SalesForce_dbo.Professional_List","1","Daily","1","SB_Daily","20","2024-06-02 04:52:57","2024-03-09 06:29:22","2024-06-02 04:52:57","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Real_Crypto_Loans","BI_DB_dbo.BI_DB_Real_Crypto_Loan","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_RealCrypto_Lev2","BI_DB_dbo.BI_DB_RealCrypto_Lev2","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Risk_RiskStatusChange","BI_DB_dbo.BI_DB_Risk_RiskStatusChanges","1","Daily","1","SB_Daily","0","2024-01-03 05:11:55","2023-08-16 08:09:03","2024-01-03 05:11:55","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_RiskClassification","BI_DB_dbo.BI_DB_RiskClassification","1","Daily","1","SB_Daily","0","2024-06-02 04:59:18","2024-02-29 04:54:58","2024-06-02 04:59:18","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_RollOverFee_Dividends","BI_DB_dbo.BI_DB_RollOverFee_Dividends","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_SCD_Staking_Position","BI_DB_dbo.SCD_Staking_Position_Log","1","Daily","1","COPY DATA","0","2024-06-02 08:18:26","2024-04-05 20:03:10","2024-06-02 08:18:26","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_SF_Cases","BI_DB_dbo.BI_DB_SF_Cases_Panel","1","Daily","1","SB_Daily","0","2024-05-30 06:03:33","2024-06-02 08:31:24","2024-06-02 08:31:24","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_SF_Cases_Panel","BI_DB_dbo.BI_DB_SF_Cases_Panel","1","Daily","1","SB_Daily","0","2023-01-25 03:30:44","2022-10-31 04:09:55","2023-01-25 03:30:44","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Social_Activity_COPYDATA_RuningSideBySide","BI_DB_dbo.BI_DB_Social_Activity_COPYDATA_RuningSideBySide","1","Daily","1","SB_Daily","0","2024-05-06 04:54:01","2024-03-24 04:37:35","2024-05-06 04:54:01","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Social_Activity_Updates_COPYDATA_RuningSideBySide","BI_DB_dbo.BI_DB_Social_Activity_Updates_COPYDATA_RuningSideBySide","1","Daily","1","SB_Daily","0","2024-04-15 07:51:07","","2024-04-15 07:51:07","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_SpreadedPriceCandle60MinSplitted","BI_DB_dbo.BI_DB_SpreadedPriceCandle60MinSplitted","1","Daily","1","SB_Daily","0","2024-06-02 06:15:21","2024-03-04 08:43:25","2024-06-02 06:15:21","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Staking_Daily_Email_for_labs","BI_DB_dbo.BI_DB_Staking_Daily_Email_for_labs","1","Daily","1","SB_Daily","0","2023-11-15 04:41:19","2023-11-20 04:46:16","2023-11-20 04:46:16","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_TicketsForOPSNEW","BI_DB_dbo.BI_DB_TicketsForOPS_NEW","1","Daily","1","SB_Daily","0","2024-04-23 05:52:47","","2024-04-23 05:52:47","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Users_Bio","BI_DB_dbo.BI_DB_Publications","1","Daily","1","SB_Daily","20","2023-11-08 04:11:30","","2023-11-08 04:11:30","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_VarCommission","BI_DB_dbo.BI_DB_VarCommission","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BigQueryGADataUploadData_Ltv","RawData.pLTV_30d","1","Daily","10","Daily","0","2022-09-05 07:24:24","2022-09-18 07:14:17","2022-10-31 09:14:40","0","0","A4_DAILY_365D","other"
"DataBricks-Sedric_IsMajor","internal-sources/Gold/Sedric/IsMajor","1","Daily","10","Daily","0","2023-08-07 10:14:00","2023-07-26 10:11:08","2023-08-07 10:14:00","0","0","A4_DAILY_365D","other"
"DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.Bronze_Fivetran_google_sheets_marex_mapping_table","CopyFromLake.Bronze_Fivetran_google_sheets_marex_mapping_table","1","Daily","6","SB_Daily","0","2024-02-14 11:34:53","","2024-02-14 11:34:53","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.DB_Logs_History_OrderForClose","CopyFromLake.DB_Logs_History_OrderForClose","1","Daily","6","SB_Daily","0","2024-08-08 09:49:05","2024-04-14 05:33:18","2024-08-08 09:49:05","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.DB_Logs_History_OrderForOpen","CopyFromLake.DB_Logs_History_OrderForOpen","1","Daily","6","SB_Daily","0","2024-08-01 04:53:03","2025-02-13 06:16:26","2025-02-13 06:16:26","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.etoro_DWH_HistoryOrderForClose","CopyFromLake.etoro_DWH_HistoryOrderForClose","1","Daily","6","SB_Daily","0","2025-01-12 06:30:00","2025-01-07 07:07:08","2025-01-12 06:30:00","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.etoro_Hedge_HBCExecutionLog","CopyFromLake.etoro_Hedge_HBCExecutionLog","1","Daily","6","SB_Daily","0","2024-01-15 06:13:16","2024-01-16 04:55:42","2024-01-16 04:55:42","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.etoro_History_OrdersMarketFail","CopyFromLake.etoro_History_OrdersMarketFail","1","Daily","6","SB_Daily","0","2025-04-22 09:55:46","2025-02-13 06:17:41","2025-04-22 09:55:46","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.etoro_Trade_OrdersEntryTbl","CopyFromLake.etoro_Trade_OrdersEntryTbl","1","Daily","6","SB_Daily","0","2025-04-22 06:14:29","2024-01-19 04:34:22","2025-04-22 06:14:29","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.eToroLogs_Real_Hedge_EMSOrders","CopyFromLake.eToroLogs_Real_Hedge_EMSOrders","1","Daily","6","SB_Daily","0","2025-01-26 04:59:02","2024-01-14 13:10:56","2025-01-26 04:59:02","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.eToroLogs_Real_Hedge_RequestExecutionLog","CopyFromLake.eToroLogs_Real_Hedge_RequestExecutionLog","1","Daily","6","SB_Daily","0","2024-01-15 05:53:31","2024-01-16 04:41:01","2024-01-16 04:41:01","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.eToroLogs_Real_Hedge_RequestLimitExecutionLog","CopyFromLake.eToroLogs_Real_Hedge_RequestLimitExecutionLog","1","Daily","6","SB_Daily","0","2024-01-15 05:53:28","2024-01-16 04:46:47","2024-01-16 04:46:47","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletBalancesReportDB_Wallet_FinanceReportsBalances","CopyFromLake.WalletBalancesReportDB_Wallet_FinanceReportsBalances","1","Daily","6","SB_Daily","0","2025-03-24 06:39:21","2025-02-25 05:46:11","2025-03-24 06:39:21","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_CopyLakeToSynapse-DE_dbo.FiatCurrencyBalancesStatuses","DE_dbo.FiatCurrencyBalancesStatuses","1","Daily","6","SB_Daily","0","2023-10-25 04:21:44","2023-09-28 16:34:49","2023-10-25 04:21:44","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_CopyLakeToSynapse-general.KycAnalyzer_ClientRiskProfile","general.KycAnalyzer_ClientRiskProfile","1","Daily","6","SB_Daily","0","2024-10-09 05:07:42","2024-03-27 04:29:44","2024-10-09 05:07:42","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_CopyLakeToSynapse-general.SolarisBankIdentDb_SolarisBankIdent","general.SolarisBankIdentDb_SolarisBankIdent","1","Daily","6","SB_Daily","0","2024-10-09 05:07:15","2024-07-14 05:24:47","2024-10-09 05:07:15","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_CopyLakeToSynapse-general.VideoIdentDb_VideoIdent","general.VideoIdentDb_VideoIdent","1","Daily","6","SB_Daily","0","2024-11-06 05:55:40","2024-10-07 06:09:37","2024-11-06 05:55:40","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_DWH_CIDsDailyRisk","DE_dbo.DWH_CIDsRisk","1","Daily","1","SB_Daily","90","2023-08-14 04:51:33","2023-08-15 05:19:17","2023-08-15 05:19:17","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_SourcesFromDataLakeToSynapse","general.VideoIdentDb_VideoIdent","1","Daily","1","SB_Daily","20","2023-11-30 09:17:14","2024-01-04 05:27:32","2024-01-04 05:27:32","0","0","A4_DAILY_365D","synapse_sp"
"DE_dbo.SP_UsageTracking_SF","DE_dbo.BI_DB_UsageTracking_SF","1","Daily","1","SB_Daily","70","2024-05-27 04:07:48","2024-05-20 04:09:16","2024-05-27 04:07:48","0","0","A4_DAILY_365D","synapse_sp"
