ProcedureName,ProcessName,Priority,IsActive,schema_prefix
BI_DB_dbo.SP_M_LTV_BI_Actual_Snapshot,SB_Daily,20,0,BI_DB_dbo
BI_DB_dbo.SP_M_Subsidieries_Realized_Commissions_Adjustments,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_M_UK_CommissionReport_byLeverage,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_MifidAccountType_Count,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_NOP_Distribution_Crypto,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_NOP_TradingActivity_Risk_Daily,SB_Daily,20,0,BI_DB_dbo
BI_DB_dbo.SP_OperationsMonthlyAffiliateKPIsFullData,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_PositionHoldingTime,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Professional_List,COPY DATA,20,0,BI_DB_dbo
BI_DB_dbo.SP_Publications,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Reg_UK_Compliance_SocialActivity,SB_Daily,20,0,BI_DB_dbo
BI_DB_dbo.SP_Reg_UK_Compliance_SocialActivityM,SB_Daily,20,0,BI_DB_dbo
BI_DB_dbo.SP_Regulation_Change_Abuse,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_RejectedDocuments,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Risk_Capital_Adequacy,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Transactions_Per_Time_Unit,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_US_Apex_Corporate_Cash_Actions_Recon,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_US_Apex_Fees_Charge,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_US_Apex_Instrument_Holders,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_US_Apex_Recon_Cash_To_Clients_Accounts,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_US_Stocks_Apex_PFOF,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_US_Stocks_MAU_DAU_KPI,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_USA_Equity_Deposits,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_User_Segment_Snapshot,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_VerificationStatus,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_W_Mon_AML_FCA_Crypto_Threshold,SB_Daily,20,1,BI_DB_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.Streams_dbo_Entries,SB_Hourly,20,1,DE_dbo
Dealing_dbo.SP_Best_Execution,SB_Daily,20,0,Dealing_dbo
Dealing_dbo.SP_CFDs_Stocks_Credit_Risk,SB_Daily,20,1,Dealing_dbo
Dealing_dbo.SP_CopyPortfolio_Allocation,SB_Daily,20,1,Dealing_dbo
Dealing_dbo.SP_DailyAvgSpread,SB_Daily,20,1,Dealing_dbo
Dealing_dbo.SP_DealingDashboard_Clients,SB_Daily,20,1,Dealing_dbo
Dealing_dbo.SP_Employee_Zero_StocksETFs,SB_Daily,20,1,Dealing_dbo
Dealing_dbo.SP_GS_Credit_Risk,SB_Daily,20,1,Dealing_dbo
Dealing_dbo.SP_JP_Credit_Risk,SB_Daily,20,1,Dealing_dbo
Dealing_dbo.SP_Max_NOP,SB_Daily,20,1,Dealing_dbo
Dealing_dbo.SP_MIMO_Zero,SB_Daily,20,1,Dealing_dbo
Dealing_dbo.SP_NOPDistribution,SB_Daily,20,1,Dealing_dbo
Dealing_dbo.SP_OfferedInstruments,SB_Daily,20,1,Dealing_dbo
Dealing_dbo.SP_RolloverCommissionSplit,SB_Daily,20,1,Dealing_dbo
Dealing_dbo.SP_SelfCopyingPI,SB_Daily,20,0,Dealing_dbo
Dealing_dbo.SP_Slippage_Report,SB_Daily,20,0,Dealing_dbo
Dealing_staging.SP_Copy_Etoro_Hedge_ExecutionLog,SB_Daily,20,1,Dealing_staging
Dealing_staging.SP_Copy_Etoro_Hedge_HBCExecutionLog,SB_Daily,20,0,Dealing_staging
Dealing_staging.SP_Copy_Etoro_Hedge_HBCOrderLog,SB_Daily,20,0,Dealing_staging
Dealing_staging.SP_Copy_etoro_Hedge_Netting,SB_Daily,20,1,Dealing_staging
Dealing_staging.SP_Copy_etoro_History_Credit,SB_Daily,20,1,Dealing_staging
Dealing_staging.SP_Copy_etoro_History_InstrumentToFeeConfig,SB_Daily,20,1,Dealing_staging
Dealing_staging.SP_Copy_Etoro_History_Netting_History,SB_Daily,20,1,Dealing_staging
