class,phrase,table_fqn,query_count,unique_users,owning_skill_id,hub_skill_id,genie_space_id,genie_space_name,registered_table_count,actual_used_table_count,unused_registered_count,unregistered_used_count,used_not_documented_count,top_used_tables,unused_registered_sample,unregistered_used_sample,used_not_documented_sample,suggested_action
A,depositedoptions,,27,,revenue-options-platform,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'depositedoptions' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
A,redepositedoptions,,27,,revenue-options-platform,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'redepositedoptions' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
A,redepositedoptions,,27,,revenue-options-platform,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'redepositedoptions' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
A,redepositedoptions,,27,,revenue-options-platform,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'redepositedoptions' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
A,point,,26,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'point' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,point,,26,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'point' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,risk_score,,26,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'risk_score' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,risk_score,,26,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'risk_score' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,risk_score,,26,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'risk_score' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,askspreaded,,26,,pricing-and-currency-history,domain-trading,,,,,,,,,,,,PROMOTE phrase 'askspreaded' from sub-skill triggers to hub 'domain-trading' triggers
A,ftdcount,,25,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'ftdcount' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,crypto_days,,24,,instruments-and-asset-classes,domain-trading,,,,,,,,,,,,PROMOTE phrase 'crypto_days' from sub-skill triggers to hub 'domain-trading' triggers
A,exchangerate,,24,,fees-deposit-withdraw-fx,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'exchangerate' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
A,exchangerate,,24,,fees-deposit-withdraw-fx,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'exchangerate' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
A,verificationlevel,,24,,customer-master-record,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'verificationlevel' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,verificationlevel,,24,,customer-master-record,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'verificationlevel' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,verificationlevel,,24,,customer-master-record,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'verificationlevel' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,verificationlevel,,24,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'verificationlevel' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,verificationlevel,,24,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'verificationlevel' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,operation,,23,,instruments-and-asset-classes,domain-trading,,,,,,,,,,,,PROMOTE phrase 'operation' from sub-skill triggers to hub 'domain-trading' triggers
A,liquidityaccountname,,23,,lp-contracts-and-cogs,domain-trading,,,,,,,,,,,,PROMOTE phrase 'liquidityaccountname' from sub-skill triggers to hub 'domain-trading' triggers
