column_name,occurrence_count,distinct_tables
DirectAggLotCount,14,14
session_id,14,14
longitude,14,14
_rescued_data,14,14
cfiCode,14,14
CountryName,14,14
Entity_Name,14,14
PositionRatio,14,14
IsPartialCloseParent,14,14
from_date,14,14
target,14,14
TriggeredSendExternalKey,14,14
AggregatedAmountInUnits,14,14
investigation_jira_link,14,14
FunnelFromID,14,14
LastOpPriceRateUnAdjusted,14,14
FromDate,14,14
Provider,14,14
PaymentDate,14,14
TradeTime,14,14
updatedate,14,14
Password,14,14
inc_column_Name,14,14
NOP_32,13,13
Day_Count,13,13
UnitsNOP-25%,13,13
Withdrawal,13,13
UnitsNOP-99%,13,13
UnitsNOP-20%,13,13
NOP_17,13,13
TransactionType,13,13
NOP_31,13,13
UnitsNOP+8%,13,13
StrategyID,13,13
UnitsNOP-60%,13,13
UnitsNOP+20%,13,13
Year,13,13
UnitsNOP-15%,13,13
NOP_30,13,13
UnitsNOP+4%,13,13
account_name,13,13
EventDate,13,13
SubscriberKey,13,13
exp_id,13,13
eToro_AmountUSD,13,13
UnitsNOP+400%,13,13
UnitsNOP-3%,13,13
campaign_resourceName,13,13
UnitsNOP-50%,13,13
RIC,13,13
UnitsNOP-100%,13,13
NOP_11,13,13
ProcessDate,13,13
Level,13,13
NOP_20,13,13
UnitsNOP-70%,13,13
IsChild,13,13
NOP_4,13,13
UnitsNOP+90%,13,13
RequestGuid,13,13
ExpiryDate,13,13
SubRegionID,13,13
NOP_7,13,13
NOP_24,13,13
NOP_12,13,13
UnitsNOP+70%,13,13
IsCFD,13,13
UnitsNOP+300%,13,13
NOP_18,13,13
UnitsNOP+40%,13,13
_attachments,13,13
MetCutoff,13,13
UnitsNOP+2%,13,13
UnitsNOP+50%,13,13
crypto,13,13
UnitsNOP+80%,13,13
NOP_5,13,13
user_v2_v1_diff_log1p,13,13
NOP_15,13,13
segments_date,13,13
customer_descriptiveName,13,13
Body,13,13
NOP_22,13,13
TradeNumber,13,13
NOP_14,13,13
DltStatusID,13,13
IsFunded,13,13
DailyPnL,13,13
ProjectName,13,13
StrikePrice,13,13
CreditTypeID,13,13
UnitsNOP-9%,13,13
