normalized_concept,hub_count,claiming_hubs,variant_count,variants,file_count,source_fields
main finance gold_sql_dp_prod_we_dealing_dbo_dealing_staking_dailypool,2,domain-revenue-and-fees; domain-staking,1,main.finance.gold_sql_dp_prod_we_dealing_dbo_dealing_staking_dailypool,4,required_tables
main finance gold_sql_dp_prod_we_dealing_dbo_dealing_staking_optedout,2,domain-revenue-and-fees; domain-staking,1,main.finance.gold_sql_dp_prod_we_dealing_dbo_dealing_staking_optedout,5,required_tables
main finance gold_sql_dp_prod_we_dealing_dbo_dealing_staking_parameters,2,domain-revenue-and-fees; domain-staking,1,main.finance.gold_sql_dp_prod_we_dealing_dbo_dealing_staking_parameters,5,required_tables
main general bronze_moneyfarm_users,2,domain-moneyfarm; domain-revenue-and-fees,1,main.general.bronze_moneyfarm_users,3,required_tables
main general bronze_sodreconciliation_apex_ext765_accountmaster,2,domain-options; domain-revenue-and-fees,1,main.general.bronze_sodreconciliation_apex_ext765_accountmaster,6,required_tables
main money_farm silver_moneyfarm_etoro_mf_aum,2,domain-moneyfarm; domain-revenue-and-fees,1,main.money_farm.silver_moneyfarm_etoro_mf_aum,6,required_tables
main spaceship bronze_spaceship_analytics_fct_money_transactions,2,domain-revenue-and-fees; domain-spaceship,1,main.spaceship.bronze_spaceship_analytics_fct_money_transactions,6,required_tables
main spaceship bronze_spaceship_analytics_rpt_etoro_club_balances,2,domain-customer-and-identity; domain-spaceship,1,main.spaceship.bronze_spaceship_analytics_rpt_etoro_club_balances,2,required_tables
main spaceship bronze_spaceship_metabase_super_transactions,2,domain-revenue-and-fees; domain-spaceship,1,main.spaceship.bronze_spaceship_metabase_super_transactions,5,required_tables
main spaceship bronze_spaceship_metabase_user_beta,2,domain-revenue-and-fees; domain-spaceship,1,main.spaceship.bronze_spaceship_metabase_user_beta,6,required_tables
main wallet bronze_walletdb_wallet_amlvalidations,2,domain-exw-wallet; domain-payments,1,main.wallet.bronze_walletdb_wallet_amlvalidations,2,required_tables
main wallet bronze_walletdb_wallet_conversiontransactions,2,domain-exw-wallet; domain-payments,1,main.wallet.bronze_walletdb_wallet_conversiontransactions,2,required_tables
main wallet bronze_walletdb_wallet_cryptotypes,2,domain-exw-wallet; domain-payments,1,main.wallet.bronze_walletdb_wallet_cryptotypes,2,required_tables
main wallet bronze_walletdb_wallet_receivedtransactionstatuses,2,domain-exw-wallet; domain-payments,1,main.wallet.bronze_walletdb_wallet_receivedtransactionstatuses,2,required_tables
main wallet bronze_walletdb_wallet_redemptions,2,domain-exw-wallet; domain-payments,1,main.wallet.bronze_walletdb_wallet_redemptions,2,required_tables
main wallet bronze_walletdb_wallet_requests,2,domain-exw-wallet; domain-payments,1,main.wallet.bronze_walletdb_wallet_requests,2,required_tables
main wallet bronze_walletdb_wallet_senttransactionoutputs,2,domain-exw-wallet; domain-payments,1,main.wallet.bronze_walletdb_wallet_senttransactionoutputs,2,required_tables
main wallet bronze_walletdb_wallet_senttransactionstatuses,2,domain-exw-wallet; domain-payments,1,main.wallet.bronze_walletdb_wallet_senttransactionstatuses,2,required_tables
main wallet bronze_walletdb_wallet_walletpool,2,domain-exw-wallet; domain-payments,1,main.wallet.bronze_walletdb_wallet_walletpool,2,required_tables
main wallet gold_sql_dp_prod_we_exw_dbo_exw_v_redeemreconciliation,2,domain-exw-wallet; domain-trading,1,main.wallet.gold_sql_dp_prod_we_exw_dbo_exw_v_redeemreconciliation,2,required_tables
01f122020cb3178380de2efa0b990279,1,domain-moneyfarm,1,01f122020cb3178380de2efa0b990279,1,triggers
1 n gcid portfolioid,1,domain-moneyfarm,1,1:N GCID PortfolioID,1,triggers
1 threshold,1,domain-staking,1,$1 threshold,1,triggers
1 to many member_id,1,domain-spaceship,1,1 to many member_id,1,triggers
1 usd threshold,1,domain-staking,1,$1 USD threshold,1,triggers
1-us management,1,domain-options,1,1-US Management,1,triggers
12 data sources options,1,domain-options,1,12 data sources options,1,triggers
145 provider types,1,domain-trading,1,145 provider types,1,triggers
19 transaction_types money,1,domain-spaceship,1,19 transaction_types Money,1,triggers
1900-01-01,1,domain-staking,1,1900-01-01,1,triggers
20 pfof variance,1,domain-options,1,20% PFOF variance,1,triggers
202410,1,domain-staking,1,202410,1,triggers
2024100,1,domain-staking,1,2024100,1,triggers
202503,1,domain-staking,1,202503,1,triggers
2025030,1,domain-staking,1,2025030,1,triggers
24 7 instrument,1,domain-trading,1,24/7 instrument,1,triggers
25k cohort,1,domain-spaceship,1,25k cohort,1,triggers
25k cohort threshold,1,domain-spaceship,1,25k cohort threshold,1,triggers
2fa_activation,1,domain-product-analytics,1,2fa_activation,2,triggers
3 0 states majority states,1,domain-options,1,3.0 states majority states,1,triggers
30-day balance trend per cid,1,domain-payments,1,30-day balance trend per CID,1,sample_questions
38 apex tables,1,domain-options,1,38 apex tables,1,triggers
3ds,1,domain-payments,1,3DS,1,triggers
3ds outcome distribution for declined deposits,1,domain-payments,1,3DS outcome distribution for declined deposits,1,sample_questions
3et,1,domain-options,1,3ET,1,triggers
40 40 20 split,1,domain-revenue-and-fees,1,40/40/20 split,1,triggers
4gs,1,domain-options,1,4GS,1,triggers
4gs 5gu officecode filter,1,domain-options,1,4GS 5GU OfficeCode filter,1,triggers
5 fixes 2026-04-13,1,domain-spaceship,1,5 fixes 2026-04-13,1,triggers
529k null member_id,1,domain-spaceship,1,529K NULL member_id,1,triggers
53 tables overwrite 07 30 utc,1,domain-spaceship,1,53 tables overwrite 07:30 UTC,1,triggers
53 tables spaceship,1,domain-spaceship,1,53 tables Spaceship,1,triggers
5gu,1,domain-options,1,5GU,1,triggers
6-digit,1,domain-staking,1,6-digit,1,triggers
6225 columns,1,domain-product-analytics,1,6225 columns,1,triggers
7-digit,1,domain-staking,1,7-digit,1,triggers
84 days,1,domain-spaceship,1,84 days,1,triggers
84 days rolling,1,domain-spaceship,1,84 days rolling,1,triggers
9 sample queries options,1,domain-options,1,9 sample queries options,1,triggers
9-step cte,1,domain-options,1,9-step CTE,1,triggers
9999-12-31 sentinel,1,domain-spaceship,1,9999-12-31 sentinel,1,triggers
_2024campaigns_incentivisedcids,1,domain-marketing-and-acquisition,1,_2024campaigns_incentivisedcids,1,triggers
a b test,1,domain-product-analytics,1,A/B test,2,triggers
aapl,1,domain-trading,1,AAPL,1,triggers
ab test,1,domain-product-analytics,1,AB test,2,triggers
ab testing,1,domain-product-analytics,1,AB testing,2,triggers
ab toro,1,domain-product-analytics,1,ab toro,2,triggers
abook,1,domain-trading,1,ABook,1,triggers
abook exposure,1,domain-trading,1,ABook exposure,1,triggers
abtoro,1,domain-product-analytics,1,abtoro,2,triggers
abuser,1,domain-customer-and-identity,1,Abuser,1,triggers
accepteddate,1,domain-marketing-and-acquisition,1,AcceptedDate,1,triggers
account value,1,domain-trading,1,account value,1,triggers
account-history snapshot for partykey x over q this year,1,domain-compliance-and-aml,1,Account-history snapshot for PartyKey X over Q this year,1,sample_questions
account-level fee,1,domain-revenue-and-fees,1,account-level fee,1,triggers
account_id to user_id,1,domain-spaceship,1,account_id to user_id,1,triggers
account_pnl,1,domain-trading,1,Account_PnL,2,triggers
accountactivity,1,domain-cross,1,AccountActivity,1,triggers
accounting flag,1,domain-ops-and-onboarding,1,Accounting flag,1,triggers
accountinstrumentconfiguration,1,domain-trading,1,AccountInstrumentConfiguration,1,triggers
accountmaster,1,domain-options,1,AccountMaster,1,triggers
accountnumber,1,domain-customer-and-identity,1,AccountNumber,1,triggers
accountprogram,1,domain-payments,1,AccountProgram,1,triggers
accountsactivities,1,domain-cross,1,AccountsActivities,1,triggers
accountssnapshots,1,domain-cross,1,AccountsSnapshots,1,triggers
accountstatus,1,domain-payments,1,AccountStatus,1,triggers
accountstatusid,1,domain-staking,1,AccountStatusID,1,triggers
accountsubprogram,1,domain-payments,1,AccountSubProgram,1,triggers
accounttypeid,1,domain-customer-and-identity,1,AccountTypeID,1,triggers
accounttypeid 4,1,domain-moneyfarm,1,AccountTypeID 4,2,triggers
acquisition funnel,1,domain-payments,1,acquisition funnel,1,triggers
acquisition funnel cohort count at each step for last month,1,domain-payments,1,Acquisition funnel cohort: count at each step for last month,1,sample_questions
acquisitionfunnel,1,domain-marketing-and-acquisition,1,acquisitionfunnel,1,triggers
actimize,1,domain-compliance-and-aml,1,Actimize,2,triggers
action audit,1,domain-customer-and-identity,1,action audit,1,triggers
actiontypeid,1,domain-trading,1,ActionTypeID,1,triggers
actiontypeid 36 compensationreasonid 57,1,domain-revenue-and-fees,1,ActionTypeID 36 CompensationReasonID 57,1,triggers
active emoney customers by accountprogram,1,domain-payments,1,Active eMoney customers by AccountProgram,1,sample_questions
