key,syn_name,dbx_name,syn_rows,dbx_rows,delta,ratio,update_col,syn_max_update,dbx_max_update,verdict
historycosts_dictionary_costconfigurationid,HistoryCosts_Dictionary_CostConfigurationId,historycosts_dictionary_costconfigurationid,4,4,0,1.0000,,,,MATCH
historycosts_dictionary_costsubtype,HistoryCosts_Dictionary_CostSubtype,historycosts_dictionary_costsubtype,7,7,0,1.0000,,,,MATCH
historycosts_dictionary_costtype,HistoryCosts_Dictionary_CostType,historycosts_dictionary_costtype,4,4,0,1.0000,,,,MATCH
historycosts_dictionary_executionoperationtype,HistoryCosts_Dictionary_ExecutionOperationType,historycosts_dictionary_executionoperationtype,25,25,0,1.0000,,,,MATCH
historycosts_history_costs,HistoryCosts_History_Costs,historycosts_history_costs,83003,83003,0,1.0000,Occurred,2026-05-23 23:59:15.9670000,2026-05-23 23:59:15.967,MATCH
ip2location,IP2Location,,5311956,,,,,,,DBX_ONLY_MISSING
pricelog_candles_currencypricemaxdatewithsplitview,PriceLog_Candles_CurrencyPriceMaxDateWithSplitView,pricelog_candles_currencypricemaxdatewithsplitview,16013,16013,0,1.0000,Occurred,2026-05-23 23:59:59.9900000,2026-05-23 23:59:59.99,MATCH
pricelog_candles_currencypricemaxdatewithsplitview_splitinsthistory,PriceLog_Candles_CurrencyPriceMaxDateWithSplitView_SplitInstHistory,pricelog_candles_currencypricemaxdatewithsplitview_splitinsthistory,0,0,0,,Occurred,,,MATCH
pricelog_candles_getspreadedpricecandle60minsplitted,PriceLog_Candles_GetSpreadedPriceCandle60MinSplitted,pricelog_candles_getspreadedpricecandle60minsplitted,20730297,20730297,0,1.0000,,,,MATCH
pricelog_history_currencyprice_active,PriceLog_History_CurrencyPrice_Active,pricelog_history_currencyprice_active,62007759,62007759,0,1.0000,ValidFrom,,,MATCH
pricelog_history_currencyprice_active_5_days,PriceLog_History_CurrencyPrice_Active_5_days,,632245921,,,,ValidFrom,,,DBX_ONLY_MISSING
rankings_stockinfo_instrumentdata,Rankings_StockInfo_InstrumentData,rankings_stockinfo_instrumentdata,7879554,7879554,0,1.0000,,,,MATCH
rankings_stockinfo_metadata,Rankings_StockInfo_Metadata,rankings_stockinfo_metadata,1396,1396,0,1.0000,,,,MATCH
salesforce_db_prod_dbo_idmaptopology,SalesForce_DB_Prod_dbo_IdMapTopology,salesforce_db_prod_dbo_idmaptopology,8144,8144,0,1.0000,UpdateDate,2026-05-24 00:20:19.5990000,2026-05-24 00:20:19.599,MATCH
salesforce_db_prod_dbo_salesforcetobomanagermapping,SalesForce_DB_Prod_dbo_SalesForceToBOManagerMapping,salesforce_db_prod_dbo_salesforcetobomanagermapping,3194,3194,0,1.0000,,,,MATCH
screeningservice_dictionary_screeningstatus,ScreeningService_Dictionary_ScreeningStatus,screeningservice_dictionary_screeningstatus,8,8,0,1.0000,,,,MATCH
screeningservice_screening_userscreening,ScreeningService_Screening_UserScreening,screeningservice_screening_userscreening,26604,26604,0,1.0000,LastUpdateDate,2026-05-23 23:58:03.7330000,2026-05-23 23:58:03.733,MATCH
settingsdb_dbo_vw_getcustomer2fa_enabled,SettingsDB_dbo_vw_GetCustomer2FA_enabled,settingsdb_dbo_vw_getcustomer2fa_enabled,0,0,0,,,,,MATCH
sts_audit_useroperationsdata,STS_Audit_UserOperationsData,sts_audit_useroperationsdata,53075981,6879309,-46196672,0.1296,CreatedAt,2026-05-23 23:59:59.9970000,2026-05-23 23:59:59.997,DBX_SHORT
userapidb_customer_avatars,UserApiDB_Customer_Avatars,userapidb_customer_avatars,1196,1196,0,1.0000,Ocurred,2026-05-23 23:58:42.6400000,2026-05-23 23:58:42.64,MATCH
userapidb_customer_customeridentification,UserApiDB_Customer_CustomerIdentification,userapidb_customer_customeridentification,8179,8179,0,1.0000,UpdateDate,2026-05-23 23:59:32.0230000,2026-05-23 23:59:32.023,MATCH
userapidb_dictionary_evmatchstatus,UserApiDB_Dictionary_EvMatchStatus,userapidb_dictionary_evmatchstatus,4,4,0,1.0000,,,,MATCH
userapidb_dictionary_extendeduserfield,UserApiDB_Dictionary_ExtendedUserField,userapidb_dictionary_extendeduserfield,12,12,0,1.0000,,,,MATCH
userapidb_dictionary_tanganystatus,,userapidb_dictionary_tanganystatus,,6,,,,,,SYN_ONLY_MISSING
userapidb_dictionary_verificationstatus,UserApiDB_Dictionary_VerificationStatus,userapidb_dictionary_verificationstatus,3,3,0,1.0000,,,,MATCH
